id;Name;StartTime;Day;Participants;Location
1;Llegada TD, CE, DCE & E;7:00;C-6;TD,CE,DCE&E;
2;Formación Expertos;8:00;C-5;JP,CE,DCE,E;Conector 10,11 & 12, Segundo Piso Gran Salón.
3;Preparación de las Pruebas;13:30;C-5;JP,CE,DCE,E;Área de cada habilidad.
4;Reunión del Comité Técnico;15:00;C-5;TD,TDA,CEO;Conector 7,8 & 9, Segundo Piso Gran Salón.
5;Preparación de las Pruebas;8:00;C-4;JP,CE,DCE,E;Área de cada habilidad.
6;Reunión de Presidentes del Jurado;9:00;C-4;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
7;Reunión del Comité Ejecutivo;14:00;C-4;CEO,Presidentes,Vicepresidentes;Conector 7,8 & 9, Segundo Piso Gran Salón.
8;Llegada;7:00;C-3;C,TL,OD,OO,O;
9;Preparación de las Pruebas;8:00;C-3;JP,CE,DCE,E;Área de cada habilidad.
10;Reunión de Presidentes del Jurado;9:00;C-3;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
11;Ambientación;8:00;C-2;C,CE,DCE,E,JP,WSS;Área de cada habilidad.
12;Reunión de Presidentes del Jurado;9:00;C-2;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
13;Reunión de los Jefes de Equipo;14:00;C-2;TL;Conector 10,11 & 12, Segundo Piso Gran Salón.
14;Ensayo de  Ceremonia inaugural;16:00;C-2;C,CE,DCE,E,JP,WSS;Gran Salón, Auditorio
15;One School One Country;8:00;C-1;C,TL;Colegios Bogotá
16;Preparación de las Pruebas;8:00;C-1;JP,CE,DCE,E;Área de cada habilidad.
17;Reunión de Presidentes del Jurado;9:00;C-1;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
18;Asamblea General;11:30;C-1;OD,TD,TDA,O,CEO;Conector 10,11 & 12, Segundo Piso Gran Salón.
19;Excursión;12:30;C-1;C,TL,CE,DCE,E,TD,TDA,OD,OO,O;
20;Ceremonia de Apertura;18:30;C-1;Todos;Gran Salón, Auditorio
21;Comunicación Competidor y Experto;8:30;C1;CE,DCE,E,C;Área de cada habilidad.
22;1º Día de la Competencia;9:00;C1;CE,DCE,E,C;Área de cada habilidad.
23;Reunión de Presidentes del Jurado;10:00;C1;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
24;Reunión de los Jefes de Equipo;14:00;C1;TL;Conector 10,11 & 12, Segundo Piso Gran Salón.
25;Comunicación Competidor y Experto;17:00;C1;CE,DCE,E,C;Área de cada habilidad.
26;CIS Evaluación;17:00;C1;CE,DCE,E,JP;Área de cada habilidad.
27;Comunicación Competidor y Experto;8:30;C2;CE,DCE,E,C;Área de cada habilidad.
28;2º Día de la Competencia;9:00;C2;CE,DCE,E,C;Área de cada habilidad.
29;CIS Evaluación;9:00;C2;CE,DCE,E,JP;Área de cada habilidad.
30;Reunión de Presidentes del Jurado;10:00;C2;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
31;Reunión de los Jefes de Equipo;14:00;C2;TL;Conector 10,11 & 12, Segundo Piso Gran Salón.
32;Comunicación Competidor y Experto;17:00;C2;CE,DCE,E,C;Área de cada habilidad.
33;Comunicación Competidor y Experto;8:30;C3;CE,DCE,E,C;Área de cada habilidad.
34;3º Día de la Competencia;9:00;C3;CE,DCE,E,C;Área de cada habilidad.
35;CIS Evaluación;9:00;C3;CE,DCE,E,JP;Área de cada habilidad.
36;Reunión de Presidentes del Jurado;10:00;C3;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
37;Reunión de los Jefes de Equipo;14:00;C3;TL;Conector 10,11 & 12, Segundo Piso Gran Salón.
38;Comunicación Competidor y Experto;17:00;C3;CE,DCE,E,C;Área de cada habilidad.
39;Comunicación Competidor y Experto;8:30;C4;CE,DCE,E,C;Área de cada habilidad.
40;4º Día de la Competencia;9:00;C4;CE,DCE,E,C;Área de cada habilidad.
41;CIS Evaluación Final;9:00;C4;CE,DCE,E,JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
42;Reunión de Presidentes del Jurado;10:00;C4;JP;Conector 10,11 & 12, Segundo Piso Gran Salón.
43;Reunión de los Jefes de Equipo;13:00;C4;TL;Conector 10,11 & 12, Segundo Piso Gran Salón.
44;Comunicación Competidor y Experto;15:00;C4;CE,DCE,E,C;Área de cada habilidad.
45;Embalaje de las Herramientas;15:30;C4;CE,DCE,E,C;Área de cada habilidad.
46;Día Libre  (C, TL);8:00;C+1;C,TL;
47;Finalización de la Competencia;8:00;C+1;CE,DCE,E,JP;Área de cada habilidad.
48;Reunión del Comité Técnico;10:00;C+1;CEO,TD,TDA;Conector 10,11 & 12, Segundo Piso Gran Salón.
49;Asamblea General;11:00;C+1;CEO,OD,TD,TDA,O;Conector 10,11 & 12, Segundo Piso Gran Salón.
50;Ceremonia de Clausura;18:00;C+1;Todos;Auditorio de Cámara de Comercio de Bogotá
51;Retorno de los Equipos;7:30;C+2;Todos;
52;WSA Ordenación;8:00;C+2;Todos;
